text,label
"Votre compte bancaire a été suspendu, cliquez ici pour vérifier vos informations",phishing
"Votre compte de messagerie a été suspendu, cliquez ici pour vérifier vos informations",phishing
"Votre compte client a été suspendu, cliquez ici pour vérifier vos informations",phishing
"Votre compte professionnel a été suspendu, cliquez ici pour vérifier vos informations",phishing
"Votre compte interne a été suspendu, cliquez ici pour vérifier vos informations",phishing
Action requise : confirmez votre mot de passe de messagerie sous 24h ou votre accès sera bloqué,phishing
Action requise : confirmez votre mot de passe client sous 24h ou votre accès sera bloqué,phishing
Action requise : confirmez votre mot de passe professionnel sous 24h ou votre accès sera bloqué,phishing
Action requise : confirmez votre mot de passe interne sous 24h ou votre accès sera bloqué,phishing
Action requise : confirmez votre mot de passe bancaire sous 24h ou votre accès sera bloqué,phishing
"Cher client, une activité suspecte a été détectée. Cliquez sur ce lien pour sécuriser votre compte client",phishing
"Cher client, une activité suspecte a été détectée. Cliquez sur ce lien pour sécuriser votre compte professionnel",phishing
"Cher client, une activité suspecte a été détectée. Cliquez sur ce lien pour sécuriser votre compte interne",phishing
"Cher client, une activité suspecte a été détectée. Cliquez sur ce lien pour sécuriser votre compte bancaire",phishing
"Cher client, une activité suspecte a été détectée. Cliquez sur ce lien pour sécuriser votre compte de messagerie",phishing
Vous avez gagné un chèque cadeau ! Cliquez immédiatement pour réclamer votre gain,phishing
Vous avez gagné un iPhone ! Cliquez immédiatement pour réclamer votre gain,phishing
Vous avez gagné un bon d'achat ! Cliquez immédiatement pour réclamer votre gain,phishing
Vous avez gagné un voyage ! Cliquez immédiatement pour réclamer votre gain,phishing
"Votre colis est bloqué, réglez 2,99 EUR de frais de douane via ce lien sécurisé",phishing
"Votre colis est bloqué, réglez 49 EUR de frais de douane via ce lien sécurisé",phishing
"Votre colis est bloqué, réglez 199 EUR de frais de douane via ce lien sécurisé",phishing
"Votre colis est bloqué, réglez 1,50 EUR de frais de douane via ce lien sécurisé",phishing
"URGENT : votre facture bancaire est impayée, payez maintenant pour éviter la coupure",phishing
"URGENT : votre facture de messagerie est impayée, payez maintenant pour éviter la coupure",phishing
"URGENT : votre facture client est impayée, payez maintenant pour éviter la coupure",phishing
"URGENT : votre facture professionnel est impayée, payez maintenant pour éviter la coupure",phishing
"URGENT : votre facture interne est impayée, payez maintenant pour éviter la coupure",phishing
