email,label
"Notification de téléconsultation : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Notification labo : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Dossier médical incomplet : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Mise à jour logiciel médical : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Protocole DGS à valider : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Appel à projet ARS : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"RDV médical suspendu : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Informations vaccination : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Compte-rendu d’hospitalisation : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Risque de radiation CPAM : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Base de données CNAM : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Contrôle qualité équipements : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Réunion de coordination : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Risque de radiation CPAM : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Ordonnance en ligne : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Notification labo : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Nouvelle réglementation COVID : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Compte-rendu d’hospitalisation : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Note de service médicale : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Carte Vitale expirée : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Rappel consultation : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Demande de disponibilité : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Assurance maladie : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Formulaire de remboursement accepté : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Assurance maladie : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Mise à jour carte CPS : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Ordonnance en ligne : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Informations vaccination : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Erreur de cotisation santé : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Dossier patient transféré : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Erreur de cotisation santé : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Validation ordonnance en attente : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Invitation conférence santé : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Covid - mise à jour urgente : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Alertes médicales ARS : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Facture de soins non réglée : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Dossier médical incomplet : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Confirmation de RDV médical : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Nouvelle réglementation COVID : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Remboursement santé exceptionnel : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Validation ordonnance en attente : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Dossier patient transféré : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Contrôle qualité équipements : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"RDV médical suspendu : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Demande de disponibilité : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Mise à jour carte CPS : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Formulaire de remboursement accepté : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Réunion de coordination : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Nouvelle mutuelle obligatoire : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Notification de téléconsultation : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Carte Vitale expirée : Bonjour, merci de confirmer vos informations immédiatement pour éviter toute interruption.",1
"Mise à jour logiciel médical : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
"Sécurité des données patients : Bonjour, veuillez trouver ci-joint le document demandé concernant votre établissement.",0
